gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B-cells	Endothelial	Fibroblast	Macrophages	Neuron	RBC	T-cells	Unknown	VSMC
FGF2	P09038	False	FGF2_HUMAN		CPI-SS008FB916C	0.0	0.015	0.095	0.0	0.0	0.0	0.0	0.0	0.105
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0D9366D11	0.0	0.0	0.037	0.0	0.0	0.0	0.0	0.0	0.015
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0D4CA5D92	0.0	0.044	0.157	0.0	0.0	0.0	0.0	0.0	0.0
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0D95D41D6	0.0	0.0	0.136	0.0	0.0	0.0	0.0	0.0	0.026
FGF2	P09038	False	FGF2_HUMAN		CPI-SS01F67987A	0.0	0.015	0.095	0.0	0.0	0.0	0.0	0.0	0.105
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0755A26DD	0.0	0.0	0.037	0.0	0.0	0.0	0.0	0.0	0.015
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0F2C6A4D4	0.0	0.044	0.157	0.0	0.0	0.0	0.0	0.0	0.0
FGF10	O15520	False	FGF10_HUMAN		CPI-SS03189F5F6	0.0	0.0	0.087	0.0	0.0	0.0	0.007	0.0	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS05A94DE17	0.0	0.015	0.095	0.0	0.0	0.0	0.0	0.0	0.105
FGF1	P05230	False	FGF1_HUMAN		CPI-SS04A97448D	0.0	0.0	0.037	0.0	0.0	0.0	0.0	0.0	0.015
CD44	P16070	False	CD44_HUMAN		CPI-SS06B86672A	0.257	0.039	0.133	0.435	0.8	0.01	0.636	0.0	0.237
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0F6A7A4DF	0.0	0.044	0.157	0.0	0.0	0.0	0.0	0.0	0.0
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0E928B8C8	0.0	0.0	0.136	0.0	0.0	0.0	0.0	0.0	0.026
FGF10	O15520	False	FGF10_HUMAN		CPI-SS0AECC113F	0.0	0.0	0.087	0.0	0.0	0.0	0.007	0.0	0.0
TIMP1	P01033	False	TIMP1_HUMAN		CPI-SS0735F5C3A	0.0	0.79	1.131	0.152	1.402	0.0	0.028	0.0	0.659
TFF1	P04155	False	TFF1_HUMAN		CPI-SS04640F9C3	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS0348DB5E3	0.0	0.093	0.342	0.13	0.0	0.0	0.0	0.0	0.013
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0D636A374	0.0	0.015	0.095	0.0	0.0	0.0	0.0	0.0	0.105
FGF1	P05230	False	FGF1_HUMAN		CPI-SS015819E65	0.0	0.0	0.037	0.0	0.0	0.0	0.0	0.0	0.015
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0E134097C	0.0	0.044	0.157	0.0	0.0	0.0	0.0	0.0	0.0
FGF7	P21781	False	FGF7_HUMAN		CPI-SS00E68BB92	0.0	0.0	0.136	0.0	0.0	0.0	0.0	0.0	0.026
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS0BF3ED143	0.0	0.005	0.069	0.0	0.0	0.0	0.0	0.0	0.108
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0CB6968B9	0.0	0.015	0.095	0.0	0.0	0.0	0.0	0.0	0.105
SPP1	P10451	False	OSTP_HUMAN		CPI-SS0C1BD22BC	0.0	0.0	0.042	0.0	0.0	0.0	0.0	0.0	0.133
FGF1	P05230	False	FGF1_HUMAN		CPI-SS068C742A1	0.0	0.0	0.037	0.0	0.0	0.0	0.0	0.0	0.015
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS085EE60B1	0.507	0.647	0.103	0.786	0.428	0.008	0.858	0.763	0.234
INHA	P05111	False	INHA_HUMAN		CPI-SS0FB37E079	0.0	0.005	0.024	0.019	0.0	0.0	0.01	0.0	0.0
TGFB3	P10600	False	TGFB3_HUMAN		CPI-SS0D46E2B45	0.0	0.181	0.507	0.0	0.0	0.0	0.01	0.0	0.101
TGFB2	P61812	False	TGFB2_HUMAN		CPI-SS0178F5C45	0.0	0.423	0.403	0.0	0.532	0.0	0.016	0.0	0.238
FCER2	P06734	False	FCER2_HUMAN		CPI-SS000568A0E	0.788	0.0	0.005	0.0	0.0	0.0	0.0	1.191	0.0
L1CAM	P32004	False	L1CAM_HUMAN		CPI-SS0ACD487F0	0.0	0.0	0.005	0.052	1.12	0.0	0.0	0.0	0.0
JAM2	P57087	False	JAM2_HUMAN		CPI-SS087B53ABF	0.088	0.516	0.397	0.02	0.0	0.0	0.044	0.0	0.018
JAM3	Q9BX67	False	JAM3_HUMAN		CPI-SS0F9D53834	0.0	0.123	0.183	0.028	1.231	0.0	0.0	0.0	1.06
FFAR2	O15552	False	FFAR2_HUMAN		CPI-SS01158CABF	0.0	0.0	0.0	0.0	0.0	0.004	0.027	0.0	0.03
LAMP1	P11279	False	LAMP1_HUMAN		CPI-SS055E061C9	0.396	1.502	1.622	1.614	1.493	0.024	0.554	0.763	1.501
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS0E2431C09	0.0	0.0	0.0	0.0	0.0	0.0	0.063	0.0	0.0
ADGRG5	Q8IZF4	False	AGRG5_HUMAN		CPI-SS0AFC7BACF	0.0	0.0	0.0	0.011	0.0	0.0	0.034	0.0	0.0
FFAR2	O15552	False	FFAR2_HUMAN		CPI-SS072E1E27A	0.0	0.0	0.0	0.0	0.0	0.004	0.027	0.0	0.03
ASGR2	P07307	False	ASGR2_HUMAN		CPI-SS04A4A2334	0.0	0.0	0.0	0.119	0.0	0.0	0.011	0.0	0.0
CNR2	P34972	False	CNR2_HUMAN		CPI-SS00E3EB9FE	0.424	0.0	0.003	0.042	0.0	0.0	0.0	0.0	0.0
CXCR3	P49682	False	CXCR3_HUMAN		CPI-SS02246DA17	0.0	0.0	0.0	0.0	0.0	0.0	0.432	0.0	0.0
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0F52745F3	0.018	0.007	0.077	0.0	0.0	0.0	0.166	0.0	0.0
FCGR2A	P12318	False	FCG2A_HUMAN		CPI-SS0C17BB772	0.466	0.0	0.0	0.129	0.0	0.0	0.007	0.763	0.0
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS016EE0084	0.0	0.0	0.0	0.0	0.0	0.0	0.063	0.0	0.0
CD80	P33681	False	CD80_HUMAN		CPI-SS08F13AD5C	0.0	0.012	0.015	0.073	0.0	0.0	0.178	0.0	0.042
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS0F5B6B186	0.0	0.0	0.0	0.0	0.0	0.0	0.063	0.0	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0D795AC00	0.0	0.0	0.164	0.0	0.0	0.0	0.0	0.0	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0B02DE712	0.0	0.0	0.164	0.0	0.0	0.0	0.0	0.0	0.0
ADGRL1	O94910	False	AGRL1_HUMAN		CPI-SS09375CA29	0.088	0.062	0.035	0.007	0.0	0.0	0.025	0.0	0.057
EGF	P01133	False	EGF_HUMAN		CPI-SS00A953C3A	0.009	0.074	0.02	0.0	0.0	0.0	0.008	0.0	0.011
ERBB3	P21860	False	ERBB3_HUMAN		CPI-SS0BF9FA3F2	0.0	0.0	0.0	0.06	1.14	0.0	0.033	0.0	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0F4D30D5A	0.0	0.0	0.164	0.0	0.0	0.0	0.0	0.0	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0E25CE362	0.0	0.0	0.164	0.0	0.0	0.0	0.0	0.0	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0055264F3	0.0	0.0	0.164	0.0	0.0	0.0	0.0	0.0	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS08CA619FE	0.0	0.0	0.164	0.0	0.0	0.0	0.0	0.0	0.0
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0DA033F03	0.011	0.437	0.512	0.414	1.065	0.005	0.025	0.0	0.333
TNFRSF1B	P20333	False	TNR1B_HUMAN		CPI-SS0C4E86714	0.0	0.085	0.049	0.517	0.0	0.004	0.209	0.763	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0A19E9C34	0.0	0.0	0.164	0.0	0.0	0.0	0.0	0.0	0.0
ERBB3	P21860	False	ERBB3_HUMAN		CPI-SS06BC4D123	0.0	0.0	0.0	0.06	1.14	0.0	0.033	0.0	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS088A0A760	0.0	0.0	0.164	0.0	0.0	0.0	0.0	0.0	0.0
CD74	P04233	False	HG2A_HUMAN		CPI-SS0302E8E8F	4.822	0.12	0.054	3.64	0.0	0.06	0.452	4.025	0.048
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0C10824C7	0.0	0.0	0.164	0.0	0.0	0.0	0.0	0.0	0.0
CD44	P16070	False	CD44_HUMAN		CPI-SS0632A027A	0.257	0.039	0.133	0.435	0.8	0.01	0.636	0.0	0.237
TNFRSF13B	O14836	False	TR13B_HUMAN		CPI-SS03C51D352	0.307	0.0	0.0	0.0	0.0	0.0	0.011	0.763	0.0
TFRC	P02786	False	TFR1_HUMAN		CPI-SS03133B4F2	0.055	0.015	0.016	0.095	0.0	0.025	0.092	0.0	0.116
CD40	P25942	False	TNR5_HUMAN		CPI-SS0F00D756A	0.346	0.384	0.008	0.119	0.0	0.0	0.0	0.0	0.031
TNFRSF13C	Q96RJ3	False	TR13C_HUMAN		CPI-SS09648FAA9	0.791	0.0	0.003	0.0	0.0	0.0	0.006	0.0	0.0
CD74	P04233	False	HG2A_HUMAN		CPI-SS09808DEAE	4.822	0.12	0.054	3.64	0.0	0.06	0.452	4.025	0.048
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS09C4FCB90	0.058	0.179	0.214	0.436	0.0	0.0	0.092	0.0	0.119
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS0E9A581F8	0.058	0.179	0.214	0.436	0.0	0.0	0.092	0.0	0.119
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0A4F27388	0.011	0.437	0.512	0.414	1.065	0.005	0.025	0.0	0.333
FAS	P25445	False	TNR6_HUMAN		CPI-SS03A0C857B	0.0	0.027	0.026	0.205	0.0	0.0	0.118	0.0	0.31
NGFR	P08138	False	TNR16_HUMAN		CPI-SS0ADA587B4	0.016	0.0	0.011	0.033	0.0	0.0	0.0	0.0	0.385
ADORA2A	P29274	False	AA2AR_HUMAN		CPI-SS00A6D366F	0.0	0.083	0.004	0.234	0.0	0.0	0.116	0.0	0.201
NRP1	O14786	False	NRP1_HUMAN		CPI-SS0DE0A486F	0.009	0.23	1.023	0.737	0.663	0.0	0.019	0.0	1.075
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0E00478B4	0.103	1.16	0.302	0.242	1.257	0.0	0.038	0.0	0.233
NRP1	O14786	False	NRP1_HUMAN		CPI-SS0855C0353	0.009	0.23	1.023	0.737	0.663	0.0	0.019	0.0	1.075
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0D22A09AD	0.103	1.16	0.302	0.242	1.257	0.0	0.038	0.0	0.233
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0E61DB5DF	0.0	0.325	0.0	0.0	0.0	0.0	0.0	0.0	0.023
NRP1	O14786	False	NRP1_HUMAN		CPI-SS033E6DE7E	0.009	0.23	1.023	0.737	0.663	0.0	0.019	0.0	1.075
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0947A8549	0.0	0.325	0.0	0.0	0.0	0.0	0.0	0.0	0.023
ADRB2	P07550	False	ADRB2_HUMAN		CPI-SS098425155	0.104	0.185	0.023	0.256	0.532	0.004	0.032	0.0	0.015
NRP1	O14786	False	NRP1_HUMAN		CPI-SS08083B141	0.009	0.23	1.023	0.737	0.663	0.0	0.019	0.0	1.075
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0F15C1AB3	0.103	1.16	0.302	0.242	1.257	0.0	0.038	0.0	0.233
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0241A1F57	0.103	1.16	0.302	0.242	1.257	0.0	0.038	0.0	0.233
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0D1D95883	0.098	0.007	0.013	0.178	0.0	0.025	1.639	0.0	0.0
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0B01D306C	0.032	0.069	0.015	0.0	0.0	0.052	2.724	0.763	0.071
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0795802F6	0.098	0.007	0.013	0.178	0.0	0.025	1.639	0.0	0.0
CSF1	P09603	False	CSF1_HUMAN		CPI-SS03105D292	0.0	0.127	0.588	0.007	0.338	0.009	0.06	0.0	0.242
CCL4	P13236	False	CCL4_HUMAN		CPI-SS05BA6D9C3	0.098	0.007	0.013	0.178	0.0	0.025	1.639	0.0	0.0
IGF2	P01344	False	IGF2_HUMAN		CPI-SS0A3569604	0.0	0.056	0.048	0.0	0.0	0.0	0.0	0.0	0.357
IGF2	P01344	False	IGF2_HUMAN		CPI-SS0579FA162	0.0	0.056	0.048	0.0	0.0	0.0	0.0	0.0	0.357
IGF1	P05019	False	IGF1_HUMAN		CPI-SS0E41702C1	0.01	0.185	1.954	0.84	0.0	0.012	0.022	0.0	1.18
IGF2	P01344	False	IGF2_HUMAN		CPI-SS042A6F835	0.0	0.056	0.048	0.0	0.0	0.0	0.0	0.0	0.357
BDNF	P23560	False	BDNF_HUMAN		CPI-SS0BA601DC4	0.0	0.056	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NTF3	P20783	False	NTF3_HUMAN		CPI-SS093E05DD4	0.0	0.012	0.108	0.0	0.0	0.0	0.0	0.0	0.145
BDNF	P23560	False	BDNF_HUMAN		CPI-SS09A36B221	0.0	0.056	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GRN	P28799	False	GRN_HUMAN		CPI-SS07CCAD9BF	0.267	0.711	1.095	1.252	1.161	0.005	0.171	0.0	0.516
COPA	P53621	False	COPA_HUMAN		CPI-SS04F3A1E5C	0.211	0.245	0.409	0.136	0.297	0.004	0.214	0.0	0.315
BDNF	P23560	False	BDNF_HUMAN		CPI-SS03F0B666C	0.0	0.056	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS0F8EFEECF	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS02EBC1BB0	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0
DLL1	O00548	False	DLL1_HUMAN		CPI-SS04A5D6B6F	0.0	0.125	0.0	0.0	0.0	0.0	0.007	0.0	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS0B81F1BF5	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS0AB21032D	0.058	0.169	0.32	0.529	0.0	0.007	0.0	0.0	0.321
TNF	P01375	False	TNFA_HUMAN		CPI-SS09C917D22	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0
VEGFD	O43915	False	VEGFD_HUMAN		CPI-SS0D883FFF1	0.0	0.0	0.118	0.0	0.0	0.0	0.0	0.0	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS03B8E2D7A	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0
ICOSLG	O75144	False	ICOSL_HUMAN		CPI-SS0E4B1484B	0.214	0.0	0.099	0.034	0.0	0.0	0.037	0.0	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS04B4619D0	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0
LTA	P01374	False	TNFB_HUMAN		CPI-SS084BE3E4B	0.032	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0
TNFSF13	O75888	False	TNF13_HUMAN		CPI-SS0F9B3B259	0.0	0.035	0.132	0.975	0.0	0.0	0.019	0.0	0.05
TNF	P01375	False	TNFA_HUMAN		CPI-SS08B7D54A3	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0
TNFSF13	O75888	False	TNF13_HUMAN		CPI-SS0A83A7E30	0.0	0.035	0.132	0.975	0.0	0.0	0.019	0.0	0.05
TNF	P01375	False	TNFA_HUMAN		CPI-SS0E7D5974D	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0
LTA	P01374	False	TNFB_HUMAN		CPI-SS07D9A48A2	0.032	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS048A2311A	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0
LTA	P01374	False	TNFB_HUMAN		CPI-SS0D5C54214	0.032	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0
TNFSF10	P50591	False	TNF10_HUMAN		CPI-SS0DEDA3567	0.009	0.215	0.079	0.049	0.0	0.0	0.186	0.0	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS0FBC9234C	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0
PTN	P21246	False	PTN_HUMAN		CPI-SS00F4DDF4B	0.0	0.104	0.009	0.0	1.263	0.0	0.009	0.0	1.581
TNF	P01375	False	TNFA_HUMAN		CPI-SS034B442CE	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0
CXCR3	P49682	False	CXCR3_HUMAN		CPI-SS003610FF9	0.0	0.0	0.0	0.0	0.0	0.0	0.432	0.0	0.0
CCRL2	O00421	False	CCRL2_HUMAN		CPI-SS056BE1011	0.0	0.074	0.036	0.327	0.0	0.011	0.012	0.0	0.017
CCR7	P32248	False	CCR7_HUMAN		CPI-SS098EFF959	0.052	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0FAF4BB9E	0.018	0.007	0.077	0.0	0.0	0.0	0.166	0.0	0.0
ACKR2	O00590	False	ACKR2_HUMAN		CPI-SS08E13FAF2	0.0	0.074	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0DBA4D668	0.018	0.007	0.077	0.0	0.0	0.0	0.166	0.0	0.0
ACKR3	P25106	False	ACKR3_HUMAN		CPI-SS07155793F	0.032	1.354	0.796	0.025	0.43	0.012	0.015	0.0	0.105
TNFRSF13B	O14836	False	TR13B_HUMAN		CPI-SS0DCA69916	0.307	0.0	0.0	0.0	0.0	0.0	0.011	0.763	0.0
TNFRSF13B	O14836	False	TR13B_HUMAN		CPI-SS0AA47D179	0.307	0.0	0.0	0.0	0.0	0.0	0.011	0.763	0.0
CD27	P26842	False	CD27_HUMAN		CPI-SS0D4BF6CA3	0.0	0.01	0.0	0.0	0.0	0.0	0.606	0.763	0.0
CD40	P25942	False	TNR5_HUMAN		CPI-SS083296041	0.346	0.384	0.008	0.119	0.0	0.0	0.0	0.0	0.031
NGFR	P08138	False	TNR16_HUMAN		CPI-SS09F430F14	0.016	0.0	0.011	0.033	0.0	0.0	0.0	0.0	0.385
NGFR	P08138	False	TNR16_HUMAN		CPI-SS0A93C11C8	0.016	0.0	0.011	0.033	0.0	0.0	0.0	0.0	0.385
NCAM1	P13591	False	NCAM1_HUMAN		CPI-SS01BCB9360	0.0	0.012	0.05	0.0	0.651	0.0	0.0	0.0	0.06
NCAM1	P13591	False	NCAM1_HUMAN		CPI-SS0C23EF34B	0.0	0.012	0.05	0.0	0.651	0.0	0.0	0.0	0.06
NOTCH2	Q04721	False	NOTC2_HUMAN		CPI-SS027CDEA08	0.333	0.193	0.459	0.294	1.009	0.005	0.231	0.763	0.142
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS012B7C21D	0.086	0.914	0.028	0.199	0.727	0.005	0.47	0.0	0.152
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS00D153A8A	0.013	0.037	0.003	0.0	0.0	0.0	0.007	0.0	0.067
NOTCH2	Q04721	False	NOTC2_HUMAN		CPI-SS02770D68F	0.333	0.193	0.459	0.294	1.009	0.005	0.231	0.763	0.142
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS08C3D27F7	0.086	0.914	0.028	0.199	0.727	0.005	0.47	0.0	0.152
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS05FEE05CB	0.013	0.037	0.003	0.0	0.0	0.0	0.007	0.0	0.067
NOTCH3	Q9UM47	False	NOTC3_HUMAN		CPI-SS0C4D54E39	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.491
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0B42AD9EF	0.086	0.914	0.028	0.199	0.727	0.005	0.47	0.0	0.152
FZD6	O60353	False	FZD6_HUMAN		CPI-SS0FA326344	0.0	0.71	0.061	0.0	0.0	0.012	0.006	0.0	0.0
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0B87FE6E0	0.086	0.914	0.028	0.199	0.727	0.005	0.47	0.0	0.152
CD46	P15529	False	MCP_HUMAN		CPI-SS01A07768A	0.033	0.0	0.013	0.007	0.0	0.0	0.0	0.0	0.019
FZD9	O00144	False	FZD9_HUMAN		CPI-SS09FF3A1EA	0.0	0.008	0.007	0.0	0.0	0.0	0.0	0.0	0.0
CCL24	O00175	False	CCL24_HUMAN		CPI-SS0B0AC1603	0.0	0.193	0.0	0.327	0.0	0.0	0.0	0.0	0.0
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0F6B529A1	0.032	0.069	0.015	0.0	0.0	0.052	2.724	0.763	0.071
CCL11	P51671	False	CCL11_HUMAN		CPI-SS0F33890C0	0.0	0.0	0.268	0.0	0.0	0.0	0.0	0.0	0.23
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0A021DB6E	0.032	0.069	0.015	0.0	0.0	0.052	2.724	0.763	0.071
CCL2	P13500	False	CCL2_HUMAN		CPI-SS08B249DBA	0.0	0.239	0.015	0.165	0.0	0.0	0.0	0.0	0.0
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0F3BF2B34	0.032	0.069	0.015	0.0	0.0	0.052	2.724	0.763	0.071
CCL11	P51671	False	CCL11_HUMAN		CPI-SS0CB2E8B21	0.0	0.0	0.268	0.0	0.0	0.0	0.0	0.0	0.23
CCL21	O00585	False	CCL21_HUMAN		CPI-SS0ECD9BB5E	0.164	3.214	0.208	0.138	0.0	0.098	0.195	0.0	0.159
CXCL13	O43927	False	CXL13_HUMAN		CPI-SS083B5EBAB	0.0	0.0	0.058	0.021	0.0	0.0	0.0	0.0	0.034
CCL19	Q99731	False	CCL19_HUMAN		CPI-SS00AEC3818	0.0	0.0	0.163	0.0	0.0	0.0	0.0	0.0	0.0
VIP	P01282	False	VIP_HUMAN		CPI-SS0F9BBC31B	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CXCL10	P02778	False	CXL10_HUMAN		CPI-SS0FDAB7BA8	0.0	0.029	0.004	0.0	0.0	0.0	0.006	0.0	0.0
PYY	P10082	False	PYY_HUMAN		CPI-SS0FAE7ABEF	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.063
ADCYAP1	P18509	False	PACA_HUMAN		CPI-SS0D377BBBF	0.0	0.044	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CXCL10	P02778	False	CXL10_HUMAN		CPI-SS080683E15	0.0	0.029	0.004	0.0	0.0	0.0	0.006	0.0	0.0
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0EFE0B07A	0.0	0.255	0.403	0.007	0.0	0.0	0.007	0.0	0.203
CCL21	O00585	False	CCL21_HUMAN		CPI-SS06C0074BD	0.164	3.214	0.208	0.138	0.0	0.098	0.195	0.0	0.159
VIP	P01282	False	VIP_HUMAN		CPI-SS07835EECF	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VIP	P01282	False	VIP_HUMAN		CPI-SS05B60E59C	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADCYAP1	P18509	False	PACA_HUMAN		CPI-SS02CCE14A7	0.0	0.044	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PYY	P10082	False	PYY_HUMAN		CPI-SS0A9F17199	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.063
ADCYAP1	P18509	False	PACA_HUMAN		CPI-SS0098B5107	0.0	0.044	0.0	0.0	0.0	0.0	0.0	0.0	0.0
